#time   deltaF       REWdeltaF
555000  2.815052034  3.117884580
556000  2.852783957  3.120734527
557000  2.888123754  3.122558677
558000  2.925257600  3.125627372
559000  2.959405142  3.129738267
560000  2.995757783  3.133590866
561000  3.030912043  3.137185458
562000  3.065728330  3.141241402
563000  3.100914568  3.143016468
564000  3.136305472  3.147593950
565000  3.169710726  3.151104798
566000  3.207307941  3.155335055
567000  3.221819584  3.158032184
568000  3.228245502  3.158514929
569000  3.241044920  3.160432436
570000  3.203139894  3.156101619
571000  3.165010911  3.153362459
572000  3.125120552  3.148769603
573000  3.111389082  3.145671676
574000  3.145368187  3.148897233
575000  3.178884590  3.150634448
576000  3.214821482  3.155099485
577000  3.213842467  3.155916996
578000  3.217868520  3.156214552
579000  3.254070550  3.159685149
580000  3.287588976  3.164334461
581000  3.277744210  3.164024000
582000  3.293309496  3.165931442
583000  3.326907476  3.168366673
584000  3.328097100  3.169655262
585000  3.291537080  3.165749750
586000  3.253553933  3.162963031
587000  3.216742464  3.158817569
588000  3.229679335  3.161237309
589000  3.262673400  3.164616612
590000  3.296317714  3.168236901
591000  3.329868465  3.172608079
592000  3.361939563  3.175475606
593000  3.396965434  3.179507119
594000  3.432361087  3.182812083
595000  3.467087689  3.186138086
596000  3.498659382  3.189901720
597000  3.529476025  3.193675126
598000  3.559228948  3.196423021
599000  3.592128030  3.201083314
600000  3.624292458  3.203855081
601000  3.653560726  3.205675234
602000  3.684547367  3.208435041
603000  3.714551945  3.210736269
604000  3.683401255  3.209081282
605000  3.644404386  3.206930041
606000  3.607656044  3.204035398
607000  3.568309093  3.200599827
608000  3.538931578  3.198947693
609000  3.511172729  3.196532507
610000  3.477365062  3.193797738
611000  3.439464264  3.189453188
612000  3.405384520  3.186041605
613000  3.360287226  3.181165901
614000  3.332766038  3.178372082
615000  3.301476837  3.174648597
616000  3.270138020  3.171411186
617000  3.290136537  3.173432575
618000  3.323571775  3.174819214
619000  3.353983774  3.176897465
620000  3.328098460  3.174917801
621000  3.290011410  3.170916787
622000  3.254513559  3.168272807
623000  3.214254173  3.163428978
624000  3.177460884  3.160324424
625000  3.142964381  3.157747447
626000  3.111024794  3.153787647
627000  3.090470861  3.150745842
628000  3.053649912  3.146620646
629000  3.019853134  3.143081725
630000  2.984063094  3.139089959
631000  2.999624507  3.140611035
632000  3.031246259  3.143101672
633000  3.063163860  3.146724066
634000  3.091797356  3.148543488
635000  3.122875351  3.151936188
636000  3.152343205  3.155340612
637000  3.184603377  3.158059246
638000  3.212365311  3.161631896
639000  3.242061453  3.163454041
640000  3.272499274  3.166131095
641000  3.306657099  3.170369090
642000  3.340017082  3.174810497
643000  3.371862217  3.178578332
644000  3.400937158  3.181656437
645000  3.429666862  3.182954343
646000  3.454744072  3.185550316
647000  3.486988879  3.188837116
648000  3.515974446  3.191227384
649000  3.545248562  3.193613242
650000  3.576187070  3.197280994
651000  3.604382910  3.201562554
652000  3.636386728  3.203687595
653000  3.665673463  3.206441417
654000  3.694892966  3.207919245
655000  3.682475258  3.208219622
656000  3.652231730  3.206445277
657000  3.620016302  3.204612288
658000  3.585082151  3.202525111
659000  3.555034665  3.199961211
660000  3.526798093  3.197752068
661000  3.496259992  3.195948277
662000  3.502754784  3.195885436
663000  3.528397378  3.198860630
664000  3.556868919  3.201210536
665000  3.588840787  3.205412954
666000  3.614304732  3.207943823
667000  3.643768380  3.211717214
668000  3.672919584  3.213809435
669000  3.704507538  3.218589510
670000  3.733163737  3.221709406
671000  3.718173771  3.221747200
672000  3.688708973  3.218914956
673000  3.651177013  3.216782213
674000  3.617992863  3.215178980
675000  3.584968912  3.212289599
676000  3.552165484  3.209969098
677000  3.519514549  3.206924546
678000  3.496278960  3.204251425
679000  3.516493838  3.206138341
680000  3.543321316  3.208414746
681000  3.540055756  3.208348997
682000  3.508497265  3.205947815
683000  3.478172279  3.204143310
684000  3.503226324  3.207640378
685000  3.532546282  3.210497798
686000  3.559665650  3.212913126
687000  3.586817154  3.214342309
688000  3.604292998  3.215167420
689000  3.579895541  3.213327477
690000  3.589188123  3.214507410
691000  3.602197532  3.217342905
692000  3.563410623  3.214457919
693000  3.533850567  3.212127639
694000  3.504043326  3.210384968
695000  3.473439297  3.208151605
696000  3.441874852  3.205860605
697000  3.406222209  3.203282056
698000  3.380754188  3.200882402
699000  3.351720316  3.198429231
700000  3.320252439  3.196162063
701000  3.293736855  3.194353547
702000  3.305016468  3.195779557
703000  3.332298418  3.198239047
704000  3.358684793  3.200663056
705000  3.386919074  3.205065252
706000  3.408401698  3.207642769
707000  3.373091627  3.204076057
708000  3.343823421  3.201128690
